"X_id","latest_count_id","latest_count_type","latest_count_date_start","latest_count_date_end","latest_count_duration","location_name","longitude","latitude","centreline_id","avg_daily_vol","avg_weekday_daily_vol","avg_weekend_daily_vol","avg_wkdy_am_peak_start","avg_wkdy_am_peak_vol","avg_wkdy_pm_peak_start","avg_wkdy_pm_peak_vol","avg_speed","avg_85th_percentile_speed","avg_95th_percentile_speed","avg_heavy_pct"
1,3011816,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Alhambra Ave: Radford Ave - Indian Trl",-79.453255,43.654595,10800605,972.3,972.3,NA,"08:30:00",61,"17:30:00",99.3,29,38.4,43.5,NA
2,3012082,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Pineslope Cres: Highcastle Rd - Oakmeadow Blvd",-79.2165827544619,43.7881368634492,106330,126,126,NA,"08:30:00",15.7,"15:15:00",14.7,29.5,39.4,44.4,NA
3,3012118,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Renforth Dr: Renova Dr - Carsbrooke Park Trl",-79.57725742478,43.6470028686213,30088762,5683.3,5683.3,NA,"08:00:00",595,"15:15:00",580,45.4,51.5,54.8,NA
4,3012093,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Lloyd Manor Rd: Warrender Ave - Winsland Dr",-79.5562133869264,43.6744008151562,10513846,4689.7,4689.7,NA,"08:00:00",418.7,"15:00:00",440.7,34.7,42.6,46.6,NA
5,3011627,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Ambleside Ave: Uno Dr - Chartwell Rd",-79.511405,43.630595,912904,751.7,751.7,NA,"08:15:00",102.7,"14:45:00",75.3,39.9,48.2,52.9,NA
6,3012086,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Wincott Dr: Rockcastle Dr - Hartsdale Dr",-79.5470529743771,43.6837412838047,909294,2005,2005,NA,"08:15:00",204,"15:15:00",204,44.8,52.1,56.8,NA
7,3011748,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Carmichael Ave: Avenue Rd - Kelso Ave",-79.42159,43.737345,442838,887,887,NA,"08:00:00",85.3,"16:15:00",83.3,33.9,42.1,44.9,NA
8,3011763,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Wellesley St W: near Bay St",-79.386355,43.66455,7754627,10504.3,10504.3,NA,"08:30:00",663.7,"15:30:00",625,27.5,34.9,39.5,NA
9,3011795,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Faywood Blvd: Sunbeam Ave - Dresden Rd",-79.447835,43.74078,442489,2609.3,2609.3,NA,"08:00:00",271.7,"16:30:00",254,37.2,43.7,47.9,NA
10,3011796,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Crescent Rd: Rosedale Rd - Alex Murray Parkette Trl",-79.3838176939136,43.6779213014046,30124972,2422.7,2422.7,NA,"09:00:00",288.3,"14:30:00",266.7,30.6,41.9,47.8,NA
11,3011801,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Ln S King E Cowan: Spencer Ave - Cowan Ave",-79.43124,43.63776,14043973,155,155,NA,"09:00:00",10.3,"16:15:00",14.7,14.4,23.5,27.6,NA
12,3012083,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Brimorton Dr: Meadowglen Pl - Clementine Sq",-79.228575,43.77436,107665,5615.3,5615.3,NA,"08:00:00",504.7,"14:45:00",466.7,42.3,48.7,53.3,NA
13,3011854,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Virginia Ave: Fairside Ave - Binswood Ave",-79.32518,43.69396,1303,219.7,219.7,NA,"08:15:00",22.7,"17:00:00",18.3,30.2,39.3,44.5,NA
14,3011853,"ATR_SPEED_VOLUME","2025-03-25","2025-03-27",72,"Gainsborough Rd: Gerrard St E - Wembley Dr",-79.3193763648031,43.6770672768108,1140857,552.7,552.7,NA,"08:15:00",88.7,"15:45:00",68.7,28.2,34.8,39.1,NA
